Player,Nation,Pos,Squad,Comp,Age,MP,Starts,Min,90s,Ast,xAG,KP,PrgP,TB,Crs,CK,Succ,Att_stats_possession,PrgR,SCA90,GCA90,Tkl,TklW,Int,Blocks_stats_defense,Clr,Err,Ast_p90,xAG_p90,KP_p90,PrgP_p90,TB_p90,Crs_p90,CK_p90,Succ_p90,Att_stats_possession_p90,PrgR_p90,Tkl_p90,TklW_p90,Int_p90,Blocks_stats_defense_p90,Clr_p90,Err_p90
Adam Smith,eng ENG,DF,Bournemouth,eng Premier League,33.0,25,19,1590,17.7,0,0.4,8,49,1,33,0,6,16,34,1.3,0.11,24,12,15,13,49,1,0.0,0.023,0.452,2.768,0.056,1.864,0.0,0.339,0.904,1.921,1.356,0.678,0.847,0.734,2.768,0.056
Eric Smith,se SWE,"DF,MF",St. Pauli,de Bundesliga,27.0,32,32,2827,31.4,1,1.5,28,118,4,102,59,3,5,11,2.1,0.06,46,29,37,37,104,4,0.032,0.048,0.892,3.758,0.127,3.248,1.879,0.096,0.159,0.35,1.465,0.924,1.178,1.178,3.312,0.127
Ivan Smolčić,hr CRO,DF,Como,it Serie A,23.0,9,7,630,7.0,0,0.1,2,23,0,4,0,0,2,9,1.14,0.0,16,9,10,8,24,0,0.0,0.014,0.286,3.286,0.0,0.571,0.0,0.0,0.286,1.286,2.286,1.286,1.429,1.143,3.429,0.0
Oumar Solet,fr FRA,DF,Udinese,it Serie A,24.0,19,19,1672,18.6,2,1.2,17,65,3,9,0,25,31,6,1.78,0.16,33,19,17,32,78,4,0.108,0.065,0.914,3.495,0.161,0.484,0.0,1.344,1.667,0.323,1.774,1.022,0.914,1.72,4.194,0.215
Borna Sosa,hr CRO,DF,Torino,it Serie A,26.0,19,14,1181,13.1,0,0.7,11,51,0,51,5,3,7,49,1.83,0.08,26,19,14,13,33,0,0.0,0.053,0.84,3.893,0.0,3.893,0.382,0.229,0.534,3.74,1.985,1.45,1.069,0.992,2.519,0.0
Matìas Soulé,ar ARG,"MF,DF",Roma,it Serie A,21.0,27,22,1781,19.8,5,5.2,51,89,5,88,38,35,108,191,4.55,0.4,26,16,9,25,25,0,0.253,0.263,2.576,4.495,0.253,4.444,1.919,1.768,5.455,9.646,1.313,0.808,0.455,1.263,1.263,0.0
Saidou Sow,gn GUI,DF,Strasbourg,fr Ligue 1,22.0,12,11,1018,11.3,1,0.2,2,16,0,0,0,1,2,2,0.53,0.09,9,5,15,15,37,2,0.088,0.018,0.177,1.416,0.0,0.0,0.0,0.088,0.177,0.177,0.796,0.442,1.327,1.327,3.274,0.177
Saidou Sow,gn GUI,DF,Nantes,fr Ligue 1,22.0,9,9,799,8.9,0,0.4,2,15,0,0,0,4,6,0,1.01,0.0,17,11,13,19,46,1,0.0,0.045,0.225,1.685,0.0,0.0,0.0,0.449,0.674,0.0,1.91,1.236,1.461,2.135,5.169,0.112
Djed Spence,eng ENG,DF,Tottenham,eng Premier League,23.0,25,19,1792,19.9,2,1.8,11,105,2,25,0,38,76,70,1.46,0.25,47,34,21,28,74,2,0.101,0.09,0.553,5.276,0.101,1.256,0.0,1.91,3.819,3.518,2.362,1.709,1.055,1.407,3.719,0.101
Leonardo Spinazzola,it ITA,"DF,FW",Napoli,it Serie A,31.0,27,17,1517,16.9,1,3.5,26,88,3,65,12,28,64,81,2.79,0.18,17,10,9,12,31,1,0.059,0.207,1.538,5.207,0.178,3.846,0.71,1.657,3.787,4.793,1.006,0.592,0.533,0.71,1.834,0.059
Anton Stach,de GER,"MF,DF",Hoffenheim,de Bundesliga,25.0,30,29,2585,28.7,2,2.2,26,152,4,24,1,15,35,36,2.19,0.17,66,46,46,47,101,2,0.07,0.077,0.906,5.296,0.139,0.836,0.035,0.523,1.22,1.254,2.3,1.603,1.603,1.638,3.519,0.07
Josip Stanišić,hr CRO,DF,Bayern Munich,de Bundesliga,24.0,14,9,876,9.7,2,1.5,14,76,1,11,0,5,7,30,2.36,0.41,13,11,6,10,29,1,0.206,0.155,1.443,7.835,0.103,1.134,0.0,0.515,0.722,3.093,1.34,1.134,0.619,1.031,2.99,0.103
Carl Starfelt,se SWE,DF,Celta Vigo,es La Liga,29.0,28,26,2270,25.2,0,0.2,6,66,1,0,0,1,1,1,0.71,0.04,40,20,31,29,129,3,0.0,0.008,0.238,2.619,0.04,0.0,0.0,0.04,0.04,0.04,1.587,0.794,1.23,1.151,5.119,0.119
Niklas Stark,de GER,DF,Werder Bremen,de Bundesliga,29.0,26,25,2106,23.4,1,0.1,1,62,0,3,0,1,1,3,0.47,0.09,33,21,36,41,129,1,0.043,0.004,0.043,2.65,0.0,0.128,0.0,0.043,0.043,0.128,1.41,0.897,1.538,1.752,5.513,0.043
Jack Stephens,eng ENG,DF,Southampton,eng Premier League,30.0,19,17,1389,15.4,0,0.2,3,63,0,1,0,0,4,2,0.84,0.0,34,20,13,20,53,2,0.0,0.013,0.195,4.091,0.0,0.065,0.0,0.0,0.26,0.13,2.208,1.299,0.844,1.299,3.442,0.13
Leonidas Stergiou,ch SUI,DF,Stuttgart,de Bundesliga,22.0,12,11,852,9.5,2,0.9,4,39,1,13,0,4,6,32,1.27,0.63,24,13,14,16,39,0,0.211,0.095,0.421,4.105,0.105,1.368,0.0,0.421,0.632,3.368,2.526,1.368,1.474,1.684,4.105,0.0
John Stones,eng ENG,"DF,MF",Manchester City,eng Premier League,30.0,11,6,548,6.1,0,0.1,2,21,0,0,0,2,2,2,1.31,0.33,6,2,4,5,19,1,0.0,0.016,0.328,3.443,0.0,0.0,0.0,0.328,0.328,0.328,0.984,0.328,0.656,0.82,3.115,0.164
Álex Suárez,es ESP,DF,Las Palmas,es La Liga,31.0,30,30,2460,27.3,0,0.1,3,53,1,1,0,0,2,3,0.51,0.07,40,23,13,39,107,2,0.0,0.004,0.11,1.941,0.037,0.037,0.0,0.0,0.073,0.11,1.465,0.842,0.476,1.429,3.919,0.073
Gabriel Suazo,cl CHI,DF,Toulouse,fr Ligue 1,26.0,30,23,2163,24.0,6,3.8,40,109,3,78,20,25,39,118,3.41,0.46,59,39,36,27,40,1,0.25,0.158,1.667,4.542,0.125,3.25,0.833,1.042,1.625,4.917,2.458,1.625,1.5,1.125,1.667,0.042
Yukinari Sugawara,jp JPN,"DF,MF",Southampton,eng Premier League,24.0,30,16,1557,17.3,1,2.2,17,72,1,70,10,9,20,78,2.25,0.06,31,18,11,21,53,3,0.058,0.127,0.983,4.162,0.058,4.046,0.578,0.52,1.156,4.509,1.792,1.04,0.636,1.214,3.064,0.173
Niklas Süle,de GER,DF,Dortmund,de Bundesliga,28.0,15,12,1053,11.7,0,0.1,3,47,0,1,0,3,7,10,1.28,0.09,14,12,4,11,46,1,0.0,0.009,0.256,4.017,0.0,0.085,0.0,0.256,0.598,0.855,1.197,1.026,0.342,0.94,3.932,0.085
Daniel Svensson,se SWE,"DF,FW",Dortmund,de Bundesliga,22.0,12,8,781,8.7,3,1.2,10,41,0,36,19,1,5,51,2.3,0.35,15,11,5,10,30,0,0.345,0.138,1.149,4.713,0.0,4.138,2.184,0.115,0.575,5.862,1.724,1.264,0.575,1.149,3.448,0.0
Marin Šverko,hr CRO,DF,Venezia,it Serie A,26.0,16,12,1117,12.4,0,0.3,2,38,2,2,0,6,10,1,1.05,0.08,20,9,16,10,45,3,0.0,0.024,0.161,3.065,0.161,0.161,0.0,0.484,0.806,0.081,1.613,0.726,1.29,0.806,3.629,0.242
Michael Svoboda,at AUT,DF,Venezia,it Serie A,25.0,16,15,1314,14.6,0,0.6,5,43,3,2,0,2,3,5,1.1,0.0,26,14,22,19,66,2,0.0,0.041,0.342,2.945,0.205,0.137,0.0,0.137,0.205,0.342,1.781,0.959,1.507,1.301,4.521,0.137
Abakar Sylla,ci CIV,DF,Strasbourg,fr Ligue 1,21.0,21,10,950,10.6,0,0.1,1,21,0,1,0,3,6,3,0.38,0.09,27,15,11,18,63,0,0.0,0.009,0.094,1.981,0.0,0.094,0.0,0.283,0.566,0.283,2.547,1.415,1.038,1.698,5.943,0.0
Issiaga Sylla,gn GUI,DF,Montpellier,fr Ligue 1,30.0,19,15,1156,12.8,0,0.6,7,53,2,36,0,9,15,46,1.62,0.16,25,10,10,13,34,1,0.0,0.047,0.547,4.141,0.156,2.812,0.0,0.703,1.172,3.594,1.953,0.781,0.781,1.016,2.656,0.078
Nicolás Tagliafico,ar ARG,DF,Lyon,fr Ligue 1,31.0,24,22,1902,21.1,1,0.8,5,97,0,37,0,1,8,81,1.32,0.28,57,37,36,25,55,0,0.047,0.038,0.237,4.597,0.0,1.754,0.0,0.047,0.379,3.839,2.701,1.754,1.706,1.185,2.607,0.0
Jonathan Tah,de GER,DF,Leverkusen,de Bundesliga,28.0,33,33,2970,33.0,0,0.4,4,169,2,6,0,3,5,9,0.91,0.15,19,12,36,22,157,2,0.0,0.012,0.121,5.121,0.061,0.182,0.0,0.091,0.152,0.273,0.576,0.364,1.091,0.667,4.758,0.061
Adrien Tameze,cm CMR,"MF,DF",Torino,it Serie A,30.0,20,9,649,7.2,0,0.8,6,23,0,9,0,4,15,21,1.11,0.0,5,2,10,8,8,1,0.0,0.111,0.833,3.194,0.0,1.25,0.0,0.556,2.083,2.917,0.694,0.278,1.389,1.111,1.111,0.139
Renato Tapia,pe PER,"MF,DF",Leganés,es La Liga,29.0,34,28,2424,26.9,0,0.4,8,83,4,12,0,19,37,20,0.89,0.15,61,35,27,58,86,2,0.0,0.015,0.297,3.086,0.149,0.446,0.0,0.706,1.375,0.743,2.268,1.301,1.004,2.156,3.197,0.074
Edmond Tapsoba,bf BFA,DF,Leverkusen,de Bundesliga,25.0,29,29,2507,27.9,0,0.2,4,164,1,8,0,11,19,17,1.22,0.22,39,24,24,21,89,3,0.0,0.007,0.143,5.878,0.036,0.287,0.0,0.394,0.681,0.609,1.398,0.86,0.86,0.753,3.19,0.108
James Tarkowski,eng ENG,DF,Everton,eng Premier League,31.0,33,33,2922,32.5,1,2.9,16,75,2,1,0,5,7,3,1.17,0.12,64,40,41,57,213,4,0.031,0.089,0.492,2.308,0.062,0.031,0.0,0.154,0.215,0.092,1.969,1.231,1.262,1.754,6.554,0.123
César Tárrega,es ESP,DF,Valencia,es La Liga,22.0,34,34,3026,33.6,0,0.1,3,79,0,1,0,11,15,1,0.3,0.0,49,37,22,41,222,2,0.0,0.003,0.089,2.351,0.0,0.03,0.0,0.327,0.446,0.03,1.458,1.101,0.655,1.22,6.607,0.06
Nuno Tavares,pt POR,DF,Lazio,it Serie A,24.0,23,22,1686,18.7,8,4.8,33,111,2,126,9,49,105,100,3.37,0.59,28,21,21,21,44,2,0.428,0.257,1.765,5.936,0.107,6.738,0.481,2.62,5.615,5.348,1.497,1.123,1.123,1.123,2.353,0.107
Jackson Tchatchoua,cm CMR,"DF,MF",Hellas Verona,it Serie A,22.0,36,36,3167,35.2,3,2.8,34,72,2,118,0,21,40,163,1.71,0.09,50,31,14,21,75,2,0.085,0.08,0.966,2.045,0.057,3.352,0.0,0.597,1.136,4.631,1.42,0.881,0.398,0.597,2.131,0.057
Enzo Tchato,cm CMR,DF,Montpellier,fr Ligue 1,21.0,27,21,1899,21.1,0,1.5,14,62,1,77,0,6,14,95,1.56,0.0,48,26,22,30,59,0,0.0,0.071,0.664,2.938,0.047,3.649,0.0,0.284,0.664,4.502,2.275,1.232,1.043,1.422,2.796,0.0
Aurélien Tchouaméni,fr FRA,"DF,MF",Real Madrid,es La Liga,24.0,32,31,2689,29.9,0,0.6,5,154,0,12,0,10,16,13,1.14,0.0,47,23,46,34,92,1,0.0,0.02,0.167,5.151,0.0,0.401,0.0,0.334,0.535,0.435,1.572,0.769,1.538,1.137,3.077,0.033
Álvaro Tejero,es ESP,"MF,DF",Espanyol,es La Liga,28.0,28,13,1238,13.8,4,2.9,33,46,1,113,53,3,14,72,4.0,0.65,14,4,13,9,34,1,0.29,0.21,2.391,3.333,0.072,8.188,3.841,0.217,1.014,5.217,1.014,0.29,0.942,0.652,2.464,0.072
Nahuel Tenaglia,ar ARG,DF,Alavés,es La Liga,28.0,34,33,2922,32.5,1,1.6,19,103,0,85,0,17,35,98,1.57,0.12,96,61,47,33,123,2,0.031,0.049,0.585,3.169,0.0,2.615,0.0,0.523,1.077,3.015,2.954,1.877,1.446,1.015,3.785,0.062
Filippo Terracciano,it ITA,"DF,MF",Milan,it Serie A,21.0,13,6,539,6.0,0,0.1,2,14,1,3,0,0,2,9,0.67,0.0,9,6,6,1,11,0,0.0,0.017,0.333,2.333,0.167,0.5,0.0,0.0,0.333,1.5,1.5,1.0,1.0,0.167,1.833,0.0
Kenny Tete,nl NED,DF,Fulham,eng Premier League,28.0,22,21,1774,19.7,2,0.9,9,63,1,38,0,9,20,54,1.83,0.2,56,38,32,31,67,0,0.102,0.046,0.457,3.198,0.051,1.929,0.0,0.457,1.015,2.741,2.843,1.929,1.624,1.574,3.401,0.0
Jordan Teze,nl NED,DF,Monaco,fr Ligue 1,24.0,16,8,569,6.3,0,1.5,13,31,1,12,3,5,10,41,3.01,0.0,18,9,6,12,15,0,0.0,0.238,2.063,4.921,0.159,1.905,0.476,0.794,1.587,6.508,2.857,1.429,0.952,1.905,2.381,0.0
Arthur Theate,be BEL,DF,Eint Frankfurt,de Bundesliga,24.0,31,31,2704,30.0,0,1.0,13,171,7,26,0,10,13,24,1.56,0.23,36,25,39,42,170,3,0.0,0.033,0.433,5.7,0.233,0.867,0.0,0.333,0.433,0.8,1.2,0.833,1.3,1.4,5.667,0.1
Malick Thiaw,de GER,DF,Milan,it Serie A,22.0,22,19,1806,20.1,0,0.1,4,89,2,3,0,3,4,1,1.05,0.05,24,17,15,14,76,1,0.0,0.005,0.199,4.428,0.1,0.149,0.0,0.149,0.199,0.05,1.194,0.846,0.746,0.697,3.781,0.05
Luke Thomas,eng ENG,DF,Leicester City,eng Premier League,23.0,14,13,1110,12.3,0,0.5,9,37,0,29,8,3,6,16,1.3,0.08,31,25,21,15,49,1,0.0,0.041,0.732,3.008,0.0,2.358,0.65,0.244,0.488,1.301,2.52,2.033,1.707,1.22,3.984,0.081
Jurriën Timber,nl NED,DF,Arsenal,eng Premier League,23.0,30,27,2417,26.9,3,0.8,17,146,2,28,0,24,53,104,1.94,0.34,58,38,22,19,44,1,0.112,0.03,0.632,5.428,0.074,1.041,0.0,0.892,1.97,3.866,2.156,1.413,0.818,0.706,1.636,0.037
Jean-Clair Todibo,fr FRA,DF,West Ham,eng Premier League,24.0,27,20,1825,20.3,0,0.0,2,38,0,3,0,9,16,5,0.25,0.0,47,28,26,25,83,3,0.0,0.0,0.099,1.872,0.0,0.148,0.0,0.443,0.788,0.246,2.315,1.379,1.281,1.232,4.089,0.148
John Tolkin,us USA,"DF,MF",Holstein Kiel,de Bundesliga,22.0,11,9,737,8.2,2,0.7,11,17,1,38,20,5,10,12,2.44,0.24,18,11,8,10,54,0,0.244,0.085,1.341,2.073,0.122,4.634,2.439,0.61,1.22,1.463,2.195,1.341,0.976,1.22,6.585,0.0
Rafael Tolói,it ITA,DF,Atalanta,it Serie A,33.0,11,2,468,5.2,0,0.2,3,26,0,2,0,2,3,5,1.35,0.0,10,5,8,8,11,0,0.0,0.038,0.577,5.0,0.0,0.385,0.0,0.385,0.577,0.962,1.923,0.962,1.538,1.538,2.115,0.0
Fikayo Tomori,eng ENG,DF,Milan,it Serie A,26.0,22,19,1593,17.7,1,0.7,8,63,2,6,0,2,2,3,1.24,0.17,40,25,20,17,61,2,0.056,0.04,0.452,3.559,0.113,0.339,0.0,0.113,0.113,0.169,2.26,1.412,1.13,0.96,3.446,0.113
David Torres,es ESP,DF,Valladolid,es La Liga,21.0,18,15,1387,15.4,0,0.0,1,37,0,3,0,1,2,3,0.19,0.0,13,8,10,19,74,0,0.0,0.0,0.065,2.403,0.0,0.195,0.0,0.065,0.13,0.195,0.844,0.519,0.649,1.234,4.805,0.0
Pau Torres,es ESP,DF,Aston Villa,eng Premier League,27.0,24,23,2020,22.4,0,0.1,3,97,4,3,0,15,17,8,0.62,0.09,21,15,10,16,75,2,0.0,0.004,0.134,4.33,0.179,0.134,0.0,0.67,0.759,0.357,0.938,0.67,0.446,0.714,3.348,0.089
Souleymane Touré,fr FRA,DF,Udinese,it Serie A,21.0,12,11,733,8.1,0,0.0,2,26,0,6,0,5,10,3,0.98,0.0,7,6,9,15,17,1,0.0,0.0,0.247,3.21,0.0,0.741,0.0,0.617,1.235,0.37,0.864,0.741,1.111,1.852,2.099,0.123
Hamari Traoré,ml MLI,DF,Real Sociedad,es La Liga,32.0,11,9,700,7.8,1,0.2,3,26,0,9,0,6,10,20,1.67,0.26,19,12,9,6,21,0,0.128,0.026,0.385,3.333,0.0,1.154,0.0,0.769,1.282,2.564,2.436,1.538,1.154,0.769,2.692,0.0
Omar Traoré,de GER,DF,Heidenheim,de Bundesliga,26.0,30,30,2616,29.1,1,1.6,20,117,0,107,1,25,64,115,1.86,0.07,50,26,21,35,66,0,0.034,0.055,0.687,4.021,0.0,3.677,0.034,0.859,2.199,3.952,1.718,0.893,0.722,1.203,2.268,0.0
Philipp Treu,de GER,"MF,DF",St. Pauli,de Bundesliga,23.0,33,33,2881,32.0,2,2.5,22,105,1,60,0,13,39,117,2.16,0.16,61,42,19,52,87,2,0.062,0.078,0.688,3.281,0.031,1.875,0.0,0.406,1.219,3.656,1.906,1.312,0.594,1.625,2.719,0.062
Christopher Trimmel,at AUT,"DF,MF",Union Berlin,de Bundesliga,37.0,26,20,1740,19.3,3,2.1,35,73,1,111,50,2,8,45,2.94,0.31,38,25,18,14,92,0,0.155,0.109,1.813,3.782,0.052,5.751,2.591,0.104,0.415,2.332,1.969,1.295,0.933,0.725,4.767,0.0
Kieran Trippier,eng ENG,DF,Newcastle Utd,eng Premier League,33.0,25,14,1309,14.5,3,1.4,22,117,3,82,62,4,8,58,3.71,0.41,38,21,12,11,49,0,0.207,0.097,1.517,8.069,0.207,5.655,4.276,0.276,0.552,4.0,2.621,1.448,0.828,0.759,3.379,0.0
Adrien Truffert,fr FRA,"DF,MF",Rennes,fr Ligue 1,22.0,33,31,2752,30.6,2,3.2,39,104,1,145,38,16,44,243,2.49,0.26,61,36,27,44,56,1,0.065,0.105,1.275,3.399,0.033,4.739,1.242,0.523,1.438,7.941,1.993,1.176,0.882,1.438,1.83,0.033
Kostas Tsimikas,gr GRE,DF,Liverpool,eng Premier League,28.0,18,9,837,9.3,1,2.1,16,76,1,64,41,5,12,43,3.33,0.21,31,20,11,5,20,0,0.108,0.226,1.72,8.172,0.108,6.882,4.409,0.538,1.29,4.624,3.333,2.151,1.183,0.538,2.151,0.0
Axel Tuanzebe,cd COD,DF,Ipswich Town,eng Premier League,26.0,22,20,1710,19.0,1,0.3,5,61,0,10,0,4,10,15,1.0,0.11,31,19,23,21,56,1,0.053,0.016,0.263,3.211,0.0,0.526,0.0,0.211,0.526,0.789,1.632,1.0,1.211,1.105,2.947,0.053
Tuta,br BRA,"DF,MF",Eint Frankfurt,de Bundesliga,25.0,30,26,2274,25.3,1,0.3,4,78,4,3,0,13,17,12,1.03,0.04,44,27,40,42,135,1,0.04,0.012,0.158,3.083,0.158,0.119,0.0,0.514,0.672,0.474,1.739,1.067,1.581,1.66,5.336,0.04
Destiny Udogie,it ITA,DF,Tottenham,eng Premier League,21.0,25,24,1924,21.4,1,1.5,16,121,0,19,0,13,32,94,1.68,0.14,75,47,22,40,36,1,0.047,0.07,0.748,5.654,0.0,0.888,0.0,0.607,1.495,4.393,3.505,2.196,1.028,1.869,1.682,0.047
Lukas Ullrich,de GER,DF,Gladbach,de Bundesliga,20.0,26,24,1903,21.1,2,1.8,8,39,1,47,0,8,24,71,1.32,0.24,25,16,23,26,74,1,0.095,0.085,0.379,1.848,0.047,2.227,0.0,0.379,1.137,3.365,1.185,0.758,1.09,1.232,3.507,0.047
Dayot Upamecano,fr FRA,DF,Bayern Munich,de Bundesliga,25.0,20,20,1759,19.5,0,0.5,7,137,0,6,0,3,6,4,1.02,0.0,36,22,34,17,45,1,0.0,0.026,0.359,7.026,0.0,0.308,0.0,0.154,0.308,0.205,1.846,1.128,1.744,0.872,2.308,0.051
Josha Vagnoman,de GER,"DF,MF",Stuttgart,de Bundesliga,23.0,26,19,1834,20.4,1,2.1,22,47,1,43,0,8,28,96,1.42,0.05,26,14,14,16,57,1,0.049,0.103,1.078,2.304,0.049,2.108,0.0,0.392,1.373,4.706,1.275,0.686,0.686,0.784,2.794,0.049
Lautaro Valenti,ar ARG,DF,Parma,it Serie A,25.0,20,18,1556,17.3,0,0.2,4,28,0,2,0,0,1,3,0.64,0.0,17,12,13,26,94,1,0.0,0.012,0.231,1.618,0.0,0.116,0.0,0.0,0.058,0.173,0.983,0.694,0.751,1.503,5.434,0.058
Nicolás Valentini,ar ARG,DF,Hellas Verona,it Serie A,23.0,14,13,1129,12.5,0,0.8,6,42,1,5,0,2,2,1,0.88,0.0,35,23,15,15,97,0,0.0,0.064,0.48,3.36,0.08,0.4,0.0,0.16,0.16,0.08,2.8,1.84,1.2,1.2,7.76,0.0
Emanuele Valeri,it ITA,DF,Parma,it Serie A,25.0,35,34,2873,31.9,6,4.7,36,93,1,129,9,12,47,109,2.35,0.31,51,31,29,31,103,4,0.188,0.147,1.129,2.915,0.031,4.044,0.282,0.376,1.473,3.417,1.599,0.972,0.909,0.972,3.229,0.125
Martin Valjent,sk SVK,DF,Mallorca,es La Liga,28.0,31,31,2763,30.7,0,0.1,4,91,1,11,0,6,10,17,0.85,0.1,30,21,18,32,195,1,0.0,0.003,0.13,2.964,0.033,0.358,0.0,0.195,0.326,0.554,0.977,0.684,0.586,1.042,6.352,0.033
Álex Valle,es ESP,DF,Como,it Serie A,20.0,15,12,1030,11.4,0,0.7,11,44,0,16,0,9,18,30,2.18,0.0,26,12,8,13,42,0,0.0,0.061,0.965,3.86,0.0,1.404,0.0,0.789,1.579,2.632,2.281,1.053,0.702,1.14,3.684,0.0
Federico Valverde,uy URU,"MF,DF",Real Madrid,es La Liga,26.0,36,34,3032,33.7,4,3.1,39,226,3,26,3,16,28,76,2.58,0.39,50,30,55,38,52,1,0.119,0.092,1.157,6.706,0.089,0.772,0.089,0.475,0.831,2.255,1.484,0.89,1.632,1.128,1.543,0.03
Ignace Van Der Brempt,be BEL,DF,Como,it Serie A,22.0,20,14,1257,14.0,1,0.5,10,42,0,20,0,13,28,34,1.58,0.21,40,32,17,14,34,0,0.071,0.036,0.714,3.0,0.0,1.429,0.0,0.929,2.0,2.429,2.857,2.286,1.214,1.0,2.429,0.0
Siebe Van Der Heyden,be BEL,"DF,MF",St. Pauli,de Bundesliga,26.0,13,11,872,9.7,0,0.0,2,28,0,18,0,1,5,26,0.83,0.0,17,10,17,8,43,2,0.0,0.0,0.206,2.887,0.0,1.856,0.0,0.103,0.515,2.68,1.753,1.031,1.753,0.825,4.433,0.206
Virgil van Dijk,nl NED,DF,Liverpool,eng Premier League,33.0,37,37,3330,37.0,1,0.7,12,198,1,1,0,3,5,6,1.3,0.11,38,20,56,27,190,4,0.027,0.019,0.324,5.351,0.027,0.027,0.0,0.081,0.135,0.162,1.027,0.541,1.514,0.73,5.135,0.108
Vanderson,br BRA,DF,Monaco,fr Ligue 1,23.0,29,23,2064,22.9,3,3.1,23,102,4,59,0,24,48,151,2.53,0.35,76,48,39,43,65,2,0.131,0.135,1.004,4.454,0.175,2.576,0.0,1.048,2.096,6.594,3.319,2.096,1.703,1.878,2.838,0.087
Johan Vásquez,mx MEX,DF,Genoa,it Serie A,25.0,36,34,3041,33.8,0,0.3,7,96,0,7,0,5,7,12,0.74,0.0,56,31,50,59,150,1,0.0,0.009,0.207,2.84,0.0,0.207,0.0,0.148,0.207,0.355,1.657,0.917,1.479,1.746,4.438,0.03
Denis Vavro,sk SVK,DF,Wolfsburg,de Bundesliga,28.0,29,27,2461,27.3,0,0.2,7,96,0,8,0,3,6,3,0.99,0.18,21,13,37,48,234,3,0.0,0.007,0.256,3.516,0.0,0.293,0.0,0.11,0.22,0.11,0.769,0.476,1.355,1.758,8.571,0.11
Jesus Vazquez,es ESP,DF,Valencia,es La Liga,21.0,19,10,919,10.2,0,0.6,3,21,0,23,0,14,36,48,0.88,0.1,23,18,10,16,30,0,0.0,0.059,0.294,2.059,0.0,2.255,0.0,1.373,3.529,4.706,2.255,1.765,0.98,1.569,2.941,0.0
Lucas Vázquez,es ESP,DF,Real Madrid,es La Liga,33.0,32,25,2189,24.3,5,4.7,33,99,1,63,16,19,36,194,2.67,0.33,58,34,17,24,35,1,0.206,0.193,1.358,4.074,0.041,2.593,0.658,0.782,1.481,7.984,2.387,1.399,0.7,0.988,1.44,0.041
Renato Veiga,pt POR,DF,Juventus,it Serie A,21.0,13,12,1093,12.1,1,0.1,2,40,1,0,0,1,1,0,0.74,0.08,17,12,19,17,81,0,0.083,0.008,0.165,3.306,0.083,0.0,0.0,0.083,0.083,0.0,1.405,0.992,1.57,1.405,6.694,0.0
Miloš Veljković,rs SRB,DF,Werder Bremen,de Bundesliga,28.0,14,11,1029,11.4,1,0.2,3,64,0,9,0,0,0,2,1.22,0.09,10,5,2,14,47,1,0.088,0.018,0.263,5.614,0.0,0.789,0.0,0.0,0.0,0.175,0.877,0.439,0.175,1.228,4.123,0.088
Joël Veltman,nl NED,DF,Brighton,eng Premier League,32.0,21,19,1697,18.9,0,0.5,6,85,2,24,0,4,15,34,1.22,0.11,43,29,19,22,66,0,0.0,0.026,0.317,4.497,0.106,1.27,0.0,0.212,0.794,1.799,2.275,1.534,1.005,1.164,3.492,0.0
Micky van de Ven,nl NED,DF,Tottenham,eng Premier League,23.0,13,12,1015,11.3,2,1.2,2,51,0,0,0,4,8,1,0.98,0.18,10,6,10,12,39,1,0.177,0.106,0.177,4.513,0.0,0.0,0.0,0.354,0.708,0.088,0.885,0.531,0.885,1.062,3.451,0.088
Jannik Vestergaard,dk DEN,DF,Leicester City,eng Premier League,31.0,18,16,1391,15.5,0,0.1,3,32,0,0,0,4,4,2,0.45,0.0,22,10,16,21,74,1,0.0,0.006,0.194,2.065,0.0,0.0,0.0,0.258,0.258,0.129,1.419,0.645,1.032,1.355,4.774,0.065
Viti,es ESP,DF,Las Palmas,es La Liga,26.0,29,23,1982,22.0,2,1.4,12,44,1,45,0,9,20,65,1.32,0.14,71,46,27,28,61,0,0.091,0.064,0.545,2.0,0.045,2.045,0.0,0.409,0.909,2.955,3.227,2.091,1.227,1.273,2.773,0.0
Mattia Viti,it ITA,DF,Empoli,it Serie A,22.0,30,30,2572,28.6,0,0.2,5,86,1,0,0,6,11,10,0.8,0.0,65,45,48,41,128,4,0.0,0.007,0.175,3.007,0.035,0.0,0.0,0.21,0.385,0.35,2.273,1.573,1.678,1.434,4.476,0.14
Daniel Vivian,es ESP,DF,Athletic Club,es La Liga,25.0,32,28,2608,29.0,0,0.4,10,185,2,8,0,10,17,6,1.17,0.03,40,26,47,26,152,2,0.0,0.014,0.345,6.379,0.069,0.276,0.0,0.345,0.586,0.207,1.379,0.897,1.621,0.897,5.241,0.069
Alessandro Vogliacco,it ITA,DF,Genoa,it Serie A,25.0,12,8,715,7.9,0,0.0,1,26,0,11,0,0,1,2,0.76,0.0,15,3,9,11,20,0,0.0,0.0,0.127,3.291,0.0,1.392,0.0,0.0,0.127,0.253,1.899,0.38,1.139,1.392,2.532,0.0
Alessandro Vogliacco,it ITA,DF,Parma,it Serie A,25.0,10,10,772,8.6,0,0.1,3,21,0,2,0,1,1,0,0.58,0.0,5,2,3,15,37,0,0.0,0.012,0.349,2.442,0.0,0.233,0.0,0.116,0.116,0.0,0.581,0.233,0.349,1.744,4.302,0.0
